ID	sample_name	experiment	stimulus	treatment	time	condition	replicate
3347	construct_untreated_0h_rep1	construct	untreated	construct_untreated	0h	construct_untreated_0h	rep1
3350	construct_FcMR_4h_rep1	construct	FcMR	construct_FcMR	4h	construct_FcMR_4h	rep1
3353	construct_isotype_4h_rep1	construct	isotype	construct_isotype	4h	construct_isotype_4h	rep1
3355	construct_FcMR_12h_rep1	construct	FcMR	construct_FcMR	12h	construct_FcMR_12h	rep1
3359	construct_isotype_12h_rep1	construct	isotype	construct_isotype	12h	construct_isotype_12h	rep1
3362	construct_FcMR_24h_rep1	construct	FcMR	construct_FcMR	24h	construct_FcMR_24h	rep1
3365	construct_isotype_24h_rep1	construct	isotype	construct_isotype	24h	construct_isotype_24h	rep1
3348	construct_untreated_0h_rep2	construct	untreated	construct_untreated	0h	construct_untreated_0h	rep2
3351	construct_FcMR_4h_rep2	construct	FcMR	construct_FcMR	4h	construct_FcMR_4h	rep2
3354	construct_isotype_4h_rep2	construct	isotype	construct_isotype	4h	construct_isotype_4h	rep2
3357	construct_FcMR_12h_rep2	construct	FcMR	construct_FcMR	12h	construct_FcMR_12h	rep2
3360	construct_isotype_12h_rep2	construct	isotype	construct_isotype	12h	construct_isotype_12h	rep2
3363	construct_FcMR_24h_rep2	construct	FcMR	construct_FcMR	24h	construct_FcMR_24h	rep2
3366	construct_isotype_24h_rep2	construct	isotype	construct_isotype	24h	construct_isotype_24h	rep2
3349	construct_untreated_0h_rep3	construct	untreated	construct_untreated	0h	construct_untreated_0h	rep3
3352	construct_FcMR_4h_rep3	construct	FcMR	construct_FcMR	4h	construct_FcMR_4h	rep3
3356	construct_isotype_4h_rep3	construct	isotype	construct_isotype	4h	construct_isotype_4h	rep3
3358	construct_FcMR_12h_rep3	construct	FcMR	construct_FcMR	12h	construct_FcMR_12h	rep3
3361	construct_isotype_12h_rep3	construct	isotype	construct_isotype	12h	construct_isotype_12h	rep3
3364	construct_FcMR_24h_rep3	construct	FcMR	construct_FcMR	24h	construct_FcMR_24h	rep3
3367	construct_isotype_24h_rep3	construct	isotype	construct_isotype	24h	construct_isotype_24h	rep3
