,3347,3348,3349,3353,3354,3356,3350,3351,3352,3359,3360,3361,3355,3357,3358,3365,3366,3367,3362,3363,3364
ENSMUSG00000000001.4,2532,6300,3506,2426,2165,2470,4688,8925,1945,3822,1444,13837,3677,2384,4176,2203,2067,1672,2123,7536,1499
ENSMUSG00000000028.14,102,174,68,25,26,34,59,113,21,74,30,255,34,26,46,69,42,38,32,79,16
ENSMUSG00000000031.16,10,2,8,4,11,8,4,1,6,0,0,28,4,9,1,0,0,0,4,0,0
ENSMUSG00000000037.16,1,4,2,0,1,2,1,5,1,0,0,4,2,0,0,1,0,0,0,0,0
ENSMUSG00000000049.11,0,4,3,2,0,1,2,2,1,2,0,2,0,0,0,1,0,1,0,0,0
ENSMUSG00000000056.7,348,662,324,192,155,207,237,382,70,687,252,2438,637,428,886,323,269,249,680,1652,582
ENSMUSG00000000058.6,926,2163,1291,1137,965,1374,2242,3787,754,2456,836,10666,3887,2629,4642,1300,1082,1099,1871,7069,1587
ENSMUSG00000000078.7,3252,8656,4639,4009,3429,3983,11402,20297,3957,6370,2433,20677,5203,3369,5204,3570,3157,2702,2968,9329,1837
ENSMUSG00000000085.16,126,273,138,69,38,83,115,227,46,171,64,580,112,87,186,110,109,63,70,231,93
ENSMUSG00000000088.7,1084,2401,1315,778,695,795,1266,2774,500,1768,731,6922,1846,1217,2139,1279,1288,1024,1449,4425,1031
ENSMUSG00000000120.6,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,3,0,0
ENSMUSG00000000126.11,3,6,9,2,0,2,0,4,0,5,1,16,5,3,6,3,2,1,0,3,1
ENSMUSG00000000127.14,30,59,35,37,42,31,59,120,21,137,41,452,112,96,172,69,57,54,90,271,49
ENSMUSG00000000131.15,722,1458,826,525,359,723,1465,2909,581,1173,380,4144,735,822,1440,598,512,463,528,1284,520
ENSMUSG00000000134.17,1039,2120,1313,639,430,917,1217,2201,376,1863,680,7029,1011,1110,2107,915,883,720,813,1946,768
ENSMUSG00000000142.15,5,8,12,1,0,5,5,3,1,7,0,23,5,0,5,7,1,3,1,6,0
ENSMUSG00000000148.17,136,173,139,60,27,110,106,183,34,317,105,1201,126,212,330,122,116,98,100,171,87
ENSMUSG00000000149.10,614,940,676,168,115,514,414,882,177,957,361,3521,305,488,930,463,392,339,240,509,346
ENSMUSG00000000154.16,50,67,51,21,12,33,52,90,14,90,35,261,28,29,65,48,43,35,26,49,31
ENSMUSG00000000157.15,143,262,179,69,53,106,166,370,56,239,91,645,158,123,206,49,47,37,87,205,92
ENSMUSG00000000167.14,6,8,8,4,4,9,7,11,1,10,2,23,6,7,13,6,2,0,4,14,1
ENSMUSG00000000168.9,318,599,298,189,172,291,408,774,157,642,249,2743,529,435,749,363,348,321,374,1247,318
ENSMUSG00000000171.5,1294,2852,1624,740,490,888,1349,2738,440,2056,785,7678,1319,1258,2332,1280,1188,961,1458,3351,1279
ENSMUSG00000000182.9,2,1,0,1,1,0,12,14,2,0,1,1,7,3,4,0,2,0,1,4,3
ENSMUSG00000000184.12,936,2091,992,1682,1524,1741,10259,20611,3523,1587,633,4638,5567,4058,5876,366,318,200,871,3295,718
ENSMUSG00000000194.13,781,1557,911,553,444,845,1165,2393,435,1746,673,6838,1190,1241,2267,902,824,718,1032,2593,967
ENSMUSG00000000202.9,0,0,1,0,0,0,1,1,0,1,0,8,0,0,2,3,2,0,0,1,0
ENSMUSG00000000204.16,112,278,157,451,341,447,1304,1993,582,950,269,2907,984,593,934,430,281,328,571,1957,278
ENSMUSG00000000223.13,4,4,2,2,2,1,1,4,0,1,1,9,1,0,2,2,0,2,2,0,0
ENSMUSG00000000244.17,279,639,330,86,84,99,108,203,46,279,93,905,176,126,220,247,220,166,192,513,149
ENSMUSG00000000247.11,1,0,4,5,2,13,84,171,28,6,8,24,9,8,13,0,0,1,1,1,0
ENSMUSG00000000248.16,0,6,7,2,3,1,5,3,0,6,0,42,2,2,7,6,9,2,4,16,3
ENSMUSG00000000253.13,207,335,189,23,29,60,58,101,29,193,63,789,69,79,147,125,100,95,70,132,72
ENSMUSG00000000266.11,4,4,4,1,1,3,3,9,2,15,2,29,10,3,5,5,4,5,7,23,7
ENSMUSG00000000275.16,3089,6811,4004,1966,1544,2491,5484,10605,2113,3579,1392,13419,3241,2781,4685,2276,1959,1798,2518,7052,1937
ENSMUSG00000000276.11,199,456,230,123,90,111,188,375,79,290,114,1027,212,171,282,134,146,120,134,481,130
ENSMUSG00000000278.10,2174,5756,3223,1703,1263,2036,3192,7340,1447,4125,1660,16112,3713,3021,5432,2873,2717,2220,2680,7726,2101
ENSMUSG00000000282.12,566,800,519,138,49,258,154,341,59,641,291,3244,215,329,652,276,264,229,230,368,258
ENSMUSG00000000290.13,18782,37784,20766,12172,7301,17898,29645,56013,10689,47304,17544,184462,23095,24188,45354,26617,24464,22059,17933,37162,19473
ENSMUSG00000000295.13,52,123,68,16,19,26,43,88,10,56,23,219,31,22,43,46,46,28,44,113,40
ENSMUSG00000000301.16,18,40,21,11,6,20,33,45,14,21,13,126,12,21,34,12,15,12,16,20,12
ENSMUSG00000000303.12,703,1463,644,79,91,132,186,312,72,252,85,781,97,69,112,150,138,165,70,148,60
ENSMUSG00000000308.14,0,3,1,1,0,1,2,4,1,2,1,2,3,0,0,0,0,0,0,0,1
ENSMUSG00000000317.11,2,6,1,0,0,4,5,9,0,1,0,7,4,1,1,1,0,2,0,3,2
ENSMUSG00000000318.16,896,2450,1501,70,46,83,116,306,68,59,16,175,28,13,43,30,36,23,22,44,10
ENSMUSG00000000320.10,8,16,11,2,2,7,7,23,5,12,4,74,46,31,59,1,3,6,6,45,14
ENSMUSG00000000325.15,25,26,27,4,1,12,9,17,1,28,13,139,5,10,20,17,22,14,6,10,10
ENSMUSG00000000326.12,576,1085,573,161,103,292,256,517,101,926,296,3037,301,357,620,670,565,460,370,658,337
ENSMUSG00000000339.14,192,383,216,127,116,177,288,610,108,401,153,1572,281,301,500,215,180,163,246,708,216
ENSMUSG00000000340.10,158,317,164,140,152,152,258,436,123,328,100,1150,342,261,438,179,148,121,163,546,141
ENSMUSG00000000346.8,4422,9983,5561,3066,2419,3559,6439,12439,2433,5781,2175,21423,4598,3506,6342,3532,3420,2670,3355,9771,2898
ENSMUSG00000000355.13,256,680,338,257,244,232,428,779,163,466,175,1712,481,290,547,269,262,241,313,1024,193
ENSMUSG00000000359.3,7,14,8,0,0,2,3,4,2,5,0,23,1,3,4,2,0,3,0,2,2
ENSMUSG00000000365.9,6,11,10,4,2,5,8,21,2,17,5,49,32,15,15,11,7,3,18,58,5
ENSMUSG00000000374.8,783,1814,950,553,453,786,1266,2417,484,1565,578,5456,1141,1020,1764,747,676,584,828,2018,748
ENSMUSG00000000378.15,485,903,548,171,78,310,483,1040,172,587,250,2400,273,397,695,301,316,261,253,327,307
ENSMUSG00000000384.15,370,645,444,128,66,272,304,622,99,516,237,2132,212,392,635,216,180,170,152,336,201
ENSMUSG00000000385.7,0,0,1,2,1,1,2,12,2,4,1,6,0,0,3,0,0,0,2,0,0
ENSMUSG00000000386.14,904,2122,1026,3764,3136,3784,13408,27029,5888,5109,2001,18438,6794,4733,8025,1768,1638,1416,1602,5709,1090
ENSMUSG00000000392.17,3,6,1,11,7,4,12,28,8,5,4,43,20,15,16,1,4,4,4,15,0
ENSMUSG00000000399.10,543,1198,568,412,336,446,799,1571,343,1071,393,4163,844,658,1275,838,730,694,779,2264,688
ENSMUSG00000000402.2,0,1,1,0,0,2,1,2,2,4,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000409.14,8,30,10,6,9,15,38,97,14,26,6,83,19,16,47,11,19,4,15,36,10
ENSMUSG00000000416.16,0,1,0,0,0,0,0,0,0,1,1,5,0,0,3,1,1,0,2,3,3
ENSMUSG00000000420.15,1271,3171,1878,1170,1101,1135,2238,3724,803,2526,882,8894,2105,1366,2404,1519,1426,1112,1367,4211,1025
ENSMUSG00000000439.9,190,359,233,157,117,132,226,402,95,464,170,1824,333,325,566,268,228,206,236,748,234
ENSMUSG00000000440.12,282,705,353,94,98,108,144,228,42,222,74,646,47,41,87,163,188,107,36,90,30
ENSMUSG00000000441.17,1150,2360,1361,1027,724,1186,2075,3823,745,2363,924,9729,2229,1785,3707,1156,1038,922,1771,4488,1433
ENSMUSG00000000486.13,68,113,50,11,9,27,37,52,9,31,10,77,7,16,30,10,3,5,9,18,5
ENSMUSG00000000489.6,692,1069,753,349,184,818,804,1757,270,992,428,3604,256,471,910,360,309,290,303,522,395
ENSMUSG00000000530.16,372,569,315,104,87,269,228,415,69,726,311,3229,312,460,977,363,324,271,302,612,309
ENSMUSG00000000531.4,84,162,97,25,10,39,62,119,14,134,46,544,88,83,164,62,74,52,125,290,124
ENSMUSG00000000532.10,282,494,297,326,252,534,804,1402,321,1093,427,4506,1127,1125,2319,479,366,346,665,1855,674
ENSMUSG00000000538.18,338,627,334,133,67,175,213,490,83,319,115,1207,211,269,436,173,153,153,120,271,121
ENSMUSG00000000552.9,590,682,477,155,62,410,371,595,92,755,289,3381,221,462,749,226,183,173,118,162,142
ENSMUSG00000000555.7,2516,5466,3239,2251,1162,3196,6880,13988,2589,5067,1865,19015,6194,6595,11326,2033,1708,1625,2856,5504,2829
ENSMUSG00000000560.9,1,1,1,1,1,2,5,11,0,6,3,20,6,2,5,1,2,0,0,7,1
ENSMUSG00000000561.14,255,652,393,208,175,242,311,617,145,424,186,1596,420,275,518,225,229,165,221,592,135
ENSMUSG00000000562.5,41,72,44,11,6,20,39,40,4,49,10,136,27,17,26,20,27,24,18,38,20
ENSMUSG00000000563.17,1763,3441,1966,1103,1028,1453,2386,4116,784,2793,1128,11694,2219,1852,3297,1796,1788,1392,1757,6047,1366
ENSMUSG00000000568.15,569,1211,613,612,512,647,1392,2312,482,1287,503,5242,1495,1144,1969,635,564,485,731,2525,530
ENSMUSG00000000579.14,66,151,61,16,15,23,41,41,11,65,17,231,39,25,58,54,75,42,52,161,47
ENSMUSG00000000581.8,374,818,454,319,248,330,568,951,180,557,231,2446,606,358,600,423,359,283,340,1426,297
ENSMUSG00000000594.7,8423,21030,12135,5617,3669,7471,12217,23051,4718,11612,4624,47229,7702,6889,13016,6033,5835,4605,4364,10256,3992
ENSMUSG00000000600.15,484,1031,579,371,346,397,847,1402,304,766,252,2719,657,460,724,454,371,386,377,1607,281
ENSMUSG00000000605.9,946,2218,1310,559,455,701,967,1897,413,1309,467,4874,971,789,1465,729,691,541,652,1816,525
ENSMUSG00000000617.14,11,23,12,5,8,5,12,20,8,8,2,18,6,6,15,3,5,5,2,16,3
ENSMUSG00000000627.15,59,99,76,4,0,4,6,24,2,8,4,27,4,3,6,1,4,3,4,9,7
ENSMUSG00000000628.10,1278,2538,1390,842,584,1198,2247,4839,910,1497,599,5953,1152,1112,2221,739,679,611,956,2049,834
ENSMUSG00000000631.20,448,703,434,99,58,200,222,421,72,959,324,3383,309,389,788,525,402,347,322,533,342
ENSMUSG00000000632.13,1,20,11,7,1,0,19,32,2,6,1,8,12,11,6,3,0,0,3,4,1
ENSMUSG00000000673.8,178,283,158,25,17,56,85,161,23,126,35,330,37,56,47,29,44,23,43,75,32
ENSMUSG00000000682.7,6243,13719,6229,4285,3482,4546,11836,19361,3174,12344,4699,38268,7988,6694,10725,8951,8268,6779,8602,18660,5720
ENSMUSG00000000686.11,36,53,25,17,16,33,39,61,13,58,15,201,48,36,100,41,31,18,37,80,34
ENSMUSG00000000693.10,38,51,34,78,56,88,189,378,75,396,152,1238,159,178,290,147,96,92,99,224,88
ENSMUSG00000000708.14,184,443,255,208,202,206,529,976,192,557,198,2124,693,479,817,272,258,219,375,1224,230
ENSMUSG00000000711.3,1506,3578,1890,1304,1116,1518,2451,4879,946,2575,975,9643,2464,1758,3359,1656,1588,1273,1884,5358,1475
ENSMUSG00000000724.10,0,1,2,0,2,1,1,3,0,0,1,4,2,2,5,1,0,0,0,3,0
ENSMUSG00000000730.13,19,57,28,17,19,29,53,118,29,88,27,390,134,172,296,60,66,44,153,394,110
ENSMUSG00000000731.15,1,1,2,0,0,1,0,0,0,0,1,7,1,0,2,0,0,0,0,0,0
ENSMUSG00000000732.9,655,1537,772,891,662,954,1971,3779,713,533,231,1992,962,767,1256,126,122,84,177,502,132
ENSMUSG00000000738.18,274,531,267,155,100,315,462,929,171,658,251,2657,340,484,844,275,249,196,210,418,242
ENSMUSG00000000739.14,5,10,3,6,2,3,4,10,6,5,1,21,6,5,3,3,2,5,0,4,0
ENSMUSG00000000740.12,2821,4297,3171,846,547,1892,2020,4210,592,2476,907,10658,1133,1586,3002,847,973,609,894,1719,695
ENSMUSG00000000743.9,1351,2561,1468,651,386,1300,1484,3268,572,2306,928,9932,1186,1730,3051,1038,1009,812,971,1925,1057
ENSMUSG00000000751.13,322,714,328,226,183,276,332,668,156,736,247,2585,440,429,790,502,399,329,378,955,282
ENSMUSG00000000753.15,15,33,19,5,4,4,8,11,4,5,1,19,8,10,18,1,0,0,3,17,5
ENSMUSG00000000759.14,348,685,421,207,145,231,377,698,163,417,179,1727,291,264,525,249,224,186,206,640,191
ENSMUSG00000000766.18,0,3,2,0,1,2,0,1,0,1,0,2,3,1,1,0,0,0,0,0,0
ENSMUSG00000000776.13,179,337,192,135,93,224,387,779,147,281,122,1191,234,245,512,115,114,76,98,283,103
ENSMUSG00000000782.15,29,54,25,55,31,76,107,195,32,191,60,585,177,156,262,62,75,40,93,256,84
ENSMUSG00000000787.12,4109,9627,6003,2950,2798,3048,5399,9885,2232,5422,2142,20122,4772,3044,5951,3447,2991,2528,3420,12134,2492
ENSMUSG00000000791.9,8,8,4,4,0,5,15,19,7,18,7,83,15,6,16,11,7,3,12,14,8
ENSMUSG00000000794.9,243,458,291,42,46,40,72,136,18,221,66,609,140,94,193,300,287,257,339,810,280
ENSMUSG00000000804.14,564,1249,651,432,430,443,997,1765,375,914,351,3084,792,570,982,500,414,379,571,1957,377
ENSMUSG00000000805.18,1899,3281,2215,413,467,686,2317,3483,751,628,195,1973,1206,906,1833,114,83,54,270,554,243
ENSMUSG00000000811.13,87,175,130,46,34,65,64,130,26,91,33,348,69,67,110,42,36,39,44,118,28
ENSMUSG00000000823.16,153,293,165,29,29,66,57,121,22,255,86,841,93,114,205,133,121,89,93,232,80
ENSMUSG00000000826.16,2038,4863,2672,1202,902,1410,2006,3930,854,3184,1162,11536,2223,1724,3190,1983,1931,1497,1745,4901,1586
ENSMUSG00000000827.18,636,1378,760,386,283,568,678,1383,266,1012,379,4013,798,625,1229,544,542,456,684,1731,631
ENSMUSG00000000838.17,440,888,564,426,407,473,1172,2037,437,609,237,2212,617,408,657,304,271,239,311,1205,217
ENSMUSG00000000861.15,13,36,24,12,5,5,31,38,7,9,10,41,11,6,10,6,10,5,2,22,6
ENSMUSG00000000869.12,8,12,7,5,3,4,2,6,1,8,2,26,7,5,9,5,9,1,4,14,1
